Loaded 10000 rollouts
Loaded 10000 rollouts
Ignored short sequence #1916: len=99, num_frames=101
Ignored short sequence #1917: len=64, num_frames=101
Ignored short sequence #1930: len=94, num_frames=101
Ignored short sequence #1932: len=78, num_frames=101
Ignored short sequence #1935: len=92, num_frames=101
Ignored short sequence #1936: len=67, num_frames=101
Ignored short sequence #1937: len=56, num_frames=101
Ignored short sequence #1942: len=73, num_frames=101
Ignored short sequence #1944: len=89, num_frames=101
Ignored short sequence #1949: len=82, num_frames=101
Ignored short sequence #1950: len=97, num_frames=101
Ignored short sequence #1953: len=75, num_frames=101
Ignored short sequence #1956: len=98, num_frames=101
Ignored short sequence #1957: len=78, num_frames=101
Ignored short sequence #1958: len=69, num_frames=101
Ignored short sequence #1962: len=78, num_frames=101
Ignored short sequence #1963: len=98, num_frames=101
Ignored short sequence #1965: len=69, num_frames=101
Ignored short sequence #1970: len=89, num_frames=101
Ignored short sequence #1974: len=94, num_frames=101
Ignored short sequence #1980: len=85, num_frames=101
Ignored short sequence #1981: len=64, num_frames=101
Ignored short sequence #2001: len=85, num_frames=101
Ignored short sequence #2002: len=69, num_frames=101
Ignored short sequence #2008: len=83, num_frames=101
Ignored short sequence #2009: len=64, num_frames=101
Ignored short sequence #2015: len=98, num_frames=101
Ignored short sequence #2016: len=98, num_frames=101
Ignored short sequence #2020: len=64, num_frames=101
Ignored short sequence #2023: len=97, num_frames=101
Ignored short sequence #2024: len=78, num_frames=101
Ignored short sequence #2025: len=68, num_frames=101
Ignored short sequence #2026: len=98, num_frames=101
Ignored short sequence #2032: len=78, num_frames=101
Ignored short sequence #2035: len=94, num_frames=101
Ignored short sequence #2047: len=81, num_frames=101
Ignored short sequence #2048: len=71, num_frames=101
Ignored short sequence #2051: len=67, num_frames=101
Ignored short sequence #2053: len=64, num_frames=101
Ignored short sequence #2061: len=90, num_frames=101
Ignored short sequence #2062: len=99, num_frames=101
Ignored short sequence #2064: len=84, num_frames=101
Ignored short sequence #2067: len=84, num_frames=101
Ignored short sequence #2073: len=94, num_frames=101
Ignored short sequence #2075: len=75, num_frames=101
Ignored short sequence #2077: len=69, num_frames=101
Ignored short sequence #2082: len=94, num_frames=101
Ignored short sequence #2092: len=78, num_frames=101
Ignored short sequence #2095: len=83, num_frames=101
Ignored short sequence #2097: len=90, num_frames=101
Ignored short sequence #2098: len=90, num_frames=101
Ignored short sequence #2100: len=84, num_frames=101
Ignored short sequence #2101: len=83, num_frames=101
Ignored short sequence #2102: len=64, num_frames=101
Ignored short sequence #2109: len=95, num_frames=101
Ignored short sequence #2112: len=94, num_frames=101
Ignored short sequence #2115: len=78, num_frames=101
Ignored short sequence #2117: len=83, num_frames=101
Ignored short sequence #2118: len=81, num_frames=101
Ignored short sequence #2125: len=60, num_frames=101
Ignored short sequence #2127: len=73, num_frames=101
Ignored short sequence #2132: len=100, num_frames=101
Ignored short sequence #2137: len=67, num_frames=101
Ignored short sequence #2139: len=67, num_frames=101
